sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl
DDUWSD2810,DDUWSD2810,"SSD EXTERNO SANDISK SDSSDE61-1T00-G25 1TB, Conexión: USB 3.2 Gen 2 Compatibilidad: USB Type-C  ","SSD EXTERNO SANDISK SDSSDE61-1T00-G25 1TB, Conexión: USB 3.2 Gen 2 Compatibilidad: USB Type-C  (RTelefonos, laptops y tablets), iOS 13+, Android 11+, macOS v.11+, Windows 10+,    Modelo: SDSSDE61-1T00-G25",SSD,d,153.4090909090909,2991.48,153.41,3589.78,3589.78,4786.37,3440.2,3589.78,laptops,./assets/img/catalog/laptops/DDUWSD2810.jpg,https://static.ctonline.mx/imagenes/DDUWSD2810/DDUWSD2810_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
DDUSAN480,DDUSAN480,"Disco Duro""New Pull"" Laptop 1TB, 5400 RPM 2.5 "", 7mm. Interfaz  Serial ATA III","Disco Duro""New Pull"" Laptop 1TB, 5400 RPM 2.5 "", 7mm. Interfaz  Serial ATA III",PC CUSTOM,d,59.44444444444444,1159.17,59.44,1391.0,1391.0,1854.67,1333.05,1391.0,laptops,./assets/img/catalog/laptops/DDUSAN480.jpg,https://static.ctonline.mx/imagenes/DDUSAN480/DDUSAN480_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
DDUSGT1450,DDUSGT1450,"Disco Duro Interno Seagate 2TB ST2000LM015, 2.5"" Barracuda/Laptop, SATA III, , 5400rpm","Disco Duro Interno Seagate 2TB ST2000LM015, 2.5"" Barracuda/Laptop, SATA III, , 5400rpm",PC CUSTOM,d,88.33333333333333,1722.5,88.33,2067.0,2067.0,2756.0,1980.87,2067.0,laptops,./assets/img/catalog/laptops/DDUSGT1450.jpg,https://static.ctonline.mx/imagenes/DDUSGT1450/DDUSGT1450_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
DDUWSD3150,DDUWSD3150,"SSD PORTATIL SANDISK EXTREME 1TB SDSSDE61-1T00-G25M, Interfaz: USB 3.2 Gen 2, Compatibilidad: U","SSD PORTATIL SANDISK EXTREME 1TB SDSSDE61-1T00-G25M, Interfaz: USB 3.2 Gen 2, Compatibilidad: USB Type-C devices (phones, laptops, and tablets), iOS 13+, Android 11+, macOS v.11+, Windows 10+,     Modelo: SDSSDE61-1T00-G25M",SSD,d,193.88888888888889,3780.83,193.89,4537.0,4537.0,6049.33,4347.95,4537.0,laptops,./assets/img/catalog/laptops/DDUWSD3150.jpg,https://static.ctonline.mx/imagenes/DDUWSD3150/DDUWSD3150_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
MONSTY390,MONSTY390,"Monitor Stylos 23.8"" Stylos STPMOT7B Flat Panel LED HD 100Hz 5ms 1xVGA + 1xHDMI + Vesa 100x100m","Monitor Stylos 23.8"" Stylos STPMOT7B Flat Panel LED HD 100Hz 5ms 1xVGA + 1xHDMI + Vesa 100x100mm Negro, Compatible con laptops, consolas, PC y más gracias a sus entradas HDMI y VGA, resolución 1920 x 1080 (Full HD).",PC CUSTOM,m,1086.6888888888889,1086.69,55.73,1304.03,1304.03,1738.7,1249.69,1304.03,laptops,./assets/img/catalog/laptops/MONSTY390.jpg,https://static.ctonline.mx/imagenes/MONSTY390/MONSTY390_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
MONSTY400,MONSTY400,"Monitor Stylos 27"" Stylos STPMOT8B Flat Panel LED HD 75Hz 5ms 1xVGA + 1xHDMI + Vesa 100x100mm B","Monitor Stylos 27"" Stylos STPMOT8B Flat Panel LED HD 75Hz 5ms 1xVGA + 1xHDMI + Vesa 100x100mm Black, resolución 1920 x 1080 (Full HD), Conecta sin límites. Compatible con laptops, consolas, 
PC y más gracias a sus entradas HDMI y VGA.",PC CUSTOM,m,1430.2222222222222,1430.22,73.34,1716.26,1716.26,2288.35,1644.75,1716.26,laptops,./assets/img/catalog/laptops/MONSTY400.jpg,https://static.ctonline.mx/imagenes/MONSTY400/MONSTY400_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
MONQIA230,MONQIA230,"Monitor ProLite 22'' QIAN Modelo: QMF-VAF22-02, ofrece una frecuencia de actualización de 100 H","Monitor ProLite 22'' QIAN Modelo: QMF-VAF22-02, ofrece una frecuencia de actualización de 100 Hz, lo que garantiza imágenes más suaves y sin desenfoques, ideal para juegos, diseño y contenido multimedia. Esta tasa reduce el “motion blur” y mejora significativamente la experiencia visual, Su panel VA de 22 pulgadas brinda una reproducción de color mas profundo, con un contraste estático de 4000:1, ofreciendo negros más intensos y colores más definidos, perfectos para trabajos gráficos o entretenimiento, Dispone de entradas HDMI 1.3 y VGA, lo que facilita la conexión con distintos dispositivos: PC, laptops, consolas o reproductores multimedia, Con un cuerpo antirreflejo, montaje VESA 75×75 mm, peso de solo 2.12 kg y un consumo menor a 0.5 W en modo de espera. Color: Negro. Garantía 1 año.",QIAN,d,52.065217391304344,1015.27,52.07,1218.32,1218.32,1624.43,1167.56,1218.32,laptops,./assets/img/catalog/laptops/MONQIA230.jpg,https://static.ctonline.mx/imagenes/MONQIA230/MONQIA230_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
MONQIA240,MONQIA240,"Monitor FlexiView QIAN Modelo: QMF-VAF24-01,  ofrece una frecuencia de actualización de 100 Hz,","Monitor FlexiView QIAN Modelo: QMF-VAF24-01,  ofrece una frecuencia de actualización de 100 Hz, brindando mayor fluidez visual y menor fatiga ocular en tareas prolongadas o entornos de trabajo con alto dinamismo, como diseño, análisis de datos o monitoreo, Su panel VA de alto contraste (4000 : 1) proporciona negros profundos y colores vibrantes, ideales para profesionales que requieren precisión visual en contenido multimedia, diseño gráfico o entornos de vigilancia, Con 99 % sRGB, 80 % DCI-P3 y 69 % Adobe RGB, el monitor garantiza reproducción cromática precisa y fiel a la realidad, Equipado con entradas HDMI 1.3 y VGA, el QMF-VAF24-01 ofrece amplia compatibilidad con laptops, PCs, consolas y sistemas de visualización corporativos, Además, su diseño antirreflejo, ligero (2.9 kg) y con soporte VESA 75 × 75 mm permite una instalación ergonómica y ordenada, Color: Negro. Garantia 1 año.",QIAN,d,60.141304347826086,1172.76,60.14,1407.32,1407.32,1876.42,1348.67,1407.31,laptops,./assets/img/catalog/laptops/MONQIA240.jpg,https://static.ctonline.mx/imagenes/MONQIA240/MONQIA240_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC4090,COMMAC4090,MacBook Air Apple MGN73LA/A. Pantalla retina de 13.3 pulgadas (diagonal) retroiluminada por LED,"MacBook Air Apple MGN73LA/A. Pantalla retina de 13.3 pulgadas (diagonal) retroiluminada por LED con tecnología IPS; resolución nativa de 2560 x 1600 a 227 pixeles por pulgada compatible con millones de colores. Sensor Touch ID. Chip M1 de Apple CPU de 8 núcleos con 4 núcleos de rendimiento y 4 de eficiencia GPU de 8 núcleos Neural Engine de 16 núcleos Almacenamiento SSD 512 GB. 8 GB de memoria. Batería y energía de Hasta 15 horas de navegación web inalámbrica. Dos puertos Thunderbolt USB 4 compatibles con: Carga, DisplayPort, Thunderbolt (hasta 40 Gb/s), USB 3.1 de segunda generación (hasta 10 Gb/s). Magic Keyboard retroiluminado (Teclado latinoamericano). Sistema operativo macOS Big Sur. Color Gris Espacial. Cada Mac viene con una cobertura de reparación de hardware de un año a través de su garantía limitada y hasta 90 días de soporte técnico gratuito.",MGN73LA/A.,m,27714.663157894738,27714.66,1421.26,33257.6,33257.6,44343.46,31871.86,33257.59,laptops,./assets/img/catalog/laptops/COMMAC4090.jpg,https://static.ctonline.mx/imagenes/COMMAC4090/COMMAC4090_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC5570,COMMAC5570,"MacBook Air MDH74E/A Pantalla Liquid Retina XDR de 13.6 pulgadas, con Chip M5 de Apple. (CPU10 ","MacBook Air MDH74E/A Pantalla Liquid Retina XDR de 13.6 pulgadas, con Chip M5 de Apple. (CPU10 Núcleos y GPU 8 Núcleos). Memoria unificada de 16gb de RAM, Almacenamiento SSD de 512gb. Con hasta 18 horas de batería y el doble de almacenamiento inicial que las generaciones anteriores. Cámara Center Stage de 12MP con Vista del Escritorio. Sistema de Tres Micrófonos y Sistema de Sonido Envolvente con Audio Espacial. Touch ID, Dos puertos Thunderbolt 4, Magsafe y Entrada para Audífonos. Chip de Conexión Inalámbrica N1 de Apple (Conexiones Wifi 7 y Bluetooth 6, lo que mejora el rendimiento y la confiabilidad. Compatible con Apple Intelligence. Teclado en Español. Garantía limitada de un año directo con fabricante. Color Plata 1 AÑO DE GARANTIA DIRECTO CON FABRICANTE.",MDH74E/A,m,24804.425531914894,24804.43,1272.02,29765.32,29765.32,39687.09,28525.09,29765.32,laptops,./assets/img/catalog/laptops/COMMAC5570.jpg,https://static.ctonline.mx/imagenes/COMMAC5570/COMMAC5570_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC5520,COMMAC5520,"MacBook Air MW0W3E/A Pantalla Liquid Retina de 13.6 pulgadas con True Tone, con Chip M4 de Appl","MacBook Air MW0W3E/A Pantalla Liquid Retina de 13.6 pulgadas con True Tone, con Chip M4 de Apple con CPU de 10 núcleos y GPU de 8 núcleos. Memoria Unificada de 16gb de RAM, Almacenamiento SSD de 256gb. Batería de hasta 18 horas. Puerto MagSafe 3, dos puertos Thunderbolt 4, entrada para audífonos. Cámara de 12MP Center Stage, Micrófonos con calidad de estudio, Cuatro Bocinas con Audio Espacial. La caja contiene adaptador de corriente USB-C y Cable USB-C a MagSafe 3. Compatible con Apple Intelligence. Teclado en Español. Garantia limitada de un año directo con fabricante. Color Plata 1 AÑO DE GARANTIA DIRECTO CON FABRICANTE.",MW0W3E/A,m,20390.505263157895,20390.51,1045.67,24468.61,24468.61,32624.82,23449.09,24468.61,laptops,./assets/img/catalog/laptops/COMMAC5520.jpg,https://static.ctonline.mx/imagenes/COMMAC5520/COMMAC5520_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC5370,COMMAC5370,"MacBook Air MC6T4E/A Pantalla Liquid Retina de 13.6 pulgadas con True Tone, con Chip M4 de Appl","MacBook Air MC6T4E/A Pantalla Liquid Retina de 13.6 pulgadas con True Tone, con Chip M4 de Apple con CPU de 10 núcleos y GPU de 8 núcleos. Memoria Unificada de 16gb de RAM, Almacenamiento SSD de 256gb. Batería de hasta 18 horas. Puerto MagSafe 3, dos puertos Thunderbolt 4, entrada para audífonos. Cámara de 12MP Center Stage, Micrófonos con calidad de estudio, Cuatro Bocinas con Audio Espacial. La caja contiene adaptador de corriente USB-C y Cable USB-C a MagSafe 3. Compatible con Apple Intelligence. Teclado en Español. Garantía limitada de un año directo con fabricante. Color Azul Cielo 1 AÑO DE GARANTIA DIRECTO CON FABRICANTE.",MC6T4E/A,m,19381.204545454544,19381.2,993.91,23257.44,23257.44,31009.92,22288.38,23257.44,laptops,./assets/img/catalog/laptops/COMMAC5370.jpg,https://static.ctonline.mx/imagenes/COMMAC5370/COMMAC5370_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC5580,COMMAC5580,"MacBook Air MDHE4E/A Pantalla Liquid Retina de 13 Pulgadas, con Chip M5 de Apple, Memoria Unifi","MacBook Air MDHE4E/A Pantalla Liquid Retina de 13 Pulgadas, con Chip M5 de Apple, Memoria Unificada de 16GB, Almacenamiento SSD de 512GB. Es un equipo ligero pesa sólo 1.24kg y tiene un poco más de un centímetro de grosor. La MacBook Air ofrece un rendimiento de IA ultrarrápido gracias a la poderosa combinación del GPU, el Neural Engine y la memoria unificada del chip M5. Con un Neural Accelerator integrado en cada núcleo del GPU, las tareas de IA se ejecutan de manera aún más eficiente. Touch ID: Si. Sistema Operativo: MacOs. Dos Puertos Tunderbolt 4 (USB-C). Puerto de 3.5mm, Cámara de 12MP Center Stage. Teclado en Español. Color Media Noche. 1 AÑO DE GARANTIA DIRECTO CON FABRICANTE.",MDHE4E/A,m,24804.425531914894,24804.43,1272.02,29765.32,29765.32,39687.09,28525.09,29765.32,laptops,./assets/img/catalog/laptops/COMMAC5580.jpg,https://static.ctonline.mx/imagenes/COMMAC5580/COMMAC5580_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC5380,COMMAC5380,"MacBook Air MC6U4E/A Pantalla Liquid Retina de 13.6 pulgadas con True Tone, compatible con 1,00","MacBook Air MC6U4E/A Pantalla Liquid Retina de 13.6 pulgadas con True Tone, compatible con 1,000 millones de colores, con Chip M4 de Apple con CPU de 10 núcleos y GPU de 10 núcleos. Memoria Unificada de 16gb de RAM, Almacenamiento SSD de 512gb. Batería de hasta 18 horas. Puerto MagSafe, dos puertos Thunderbolt 4, entrada para audífonos. Cámara de 12MP Center Stage, Micrófonos con calidad de estudio, Cuatro Bocinas con Audio Espacial. La caja contiene adaptador de corriente USB-C y Cable USB-C a MagSafe 3. Compatible con Apple Intelligence. Teclado en Español. Garantía limitada de un año directo con fabricante. Color Azul Cielo 1 AÑO DE GARANTIA DIRECTO CON FABRICANTE.",MC6U4E/A,m,23967.305263157894,23967.31,1229.09,28760.77,28760.77,38347.7,27562.41,28760.77,laptops,./assets/img/catalog/laptops/COMMAC5380.jpg,https://static.ctonline.mx/imagenes/COMMAC5380/COMMAC5380_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC5400,COMMAC5400,"MacBook Air MC654E/A Pantalla Liquid Retina de 13.6 pulgadas compatible con 1,000 millones de c","MacBook Air MC654E/A Pantalla Liquid Retina de 13.6 pulgadas compatible con 1,000 millones de colores, con Chip M4 de Apple con CPU de 10 núcleos y GPU de 10 núcleos. Memoria Unificada de 24gb de RAM, Almacenamiento SSD de 512gb. Batería de hasta 18 horas. Puerto MagSafe 3, dos puertos Thunderbolt 4, entrada para audífonos. Cámara de 12MP Center Stage, Micrófonos con calidad de estudio, Cuatro Bocinas con Audio Espacial. La caja contiene adaptador de corriente USB-C y Cable USB-C a MagSafe 3. Compatible con Apple Intelligence. Teclado en Español. Garantia limitada de un año directo con fabricante. Color Plata 1 AÑO DE GARANTIA DIRECTO CON FABRICANTE.",MC654E/A,m,29715.673684210527,29715.67,1523.88,35658.8,35658.8,47545.07,34173.02,35658.8,laptops,./assets/img/catalog/laptops/COMMAC5400.jpg,https://static.ctonline.mx/imagenes/COMMAC5400/COMMAC5400_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC5410,COMMAC5410,"MacBook Air MC6J4E/A Pantalla Liquid Retina de 15 pulgadas compatible con 1,000 millones de col","MacBook Air MC6J4E/A Pantalla Liquid Retina de 15 pulgadas compatible con 1,000 millones de colores, con Chip M4 de Apple con CPU de 10 núcleos y GPU de 10 núcleos. Memoria Unificada de 24gb de RAM, Almacenamiento SSD de 512gb. Batería de hasta 18 horas. Puerto MagSafe 3, dos puertos Thunderbolt 4, entrada para audífonos. Cámara de 12MP Center Stage, Micrófonos con calidad de estudio, Seis Bocinas con Audio Espacial. La caja contiene adaptador de corriente USB-C y Cable USB-C a MagSafe 3. Compatible con Apple Intelligence. Teclado en Español. Garantia limitada de un año directo con fabricante. Color Plata 1 AÑO DE GARANTIA DIRECTO CON FABRICANTE.",MC6J4E/A,m,33960.3052631579,33960.31,1741.55,40752.38,40752.38,54336.5,39054.36,40752.37,laptops,./assets/img/catalog/laptops/COMMAC5410.jpg,https://static.ctonline.mx/imagenes/COMMAC5410/COMMAC5410_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC5420,COMMAC5420,"MacBook Air MW0X3E/A Pantalla Liquid Retina de 13.6 pulgadas compatible con 1,000 millones de c","MacBook Air MW0X3E/A Pantalla Liquid Retina de 13.6 pulgadas compatible con 1,000 millones de colores, con Chip M4 de Apple con CPU de 10 núcleos y GPU de 10 núcleos. Memoria Unificada de 16gb de RAM, Almacenamiento SSD de 512gb. Batería de hasta 18 horas. Puerto MagSafe 3, dos puertos Thunderbolt 4, entrada para audífonos. Cámara de 12MP Center Stage, Micrófonos con calidad de estudio, Cuatro Bocinas con Audio Espacial. La caja contiene adaptador de corriente USB-C y Cable USB-C a MagSafe 3. Compatible con Apple Intelligence. Teclado en Español. Garantia limitada de un año directo con fabricante. Color Plata 1 AÑO DE GARANTIA DIRECTO CON FABRICANTE.",MW0X3E/A,m,25469.957894736843,25469.96,1306.15,30563.96,30563.96,40751.94,29290.45,30563.95,laptops,./assets/img/catalog/laptops/COMMAC5420.jpg,https://static.ctonline.mx/imagenes/COMMAC5420/COMMAC5420_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
COMMAC5590,COMMAC5590,"MacBook Neo MHFA4E/A Pantalla Liquid Retina de 13 Pulgadas, con Chip A18 Pro (CPU 6 Núcleos y G","MacBook Neo MHFA4E/A Pantalla Liquid Retina de 13 Pulgadas, con Chip A18 Pro (CPU 6 Núcleos y GPU 5 Núcleos), 8GB de Memoria Unificada, Almacenamiento SSD 256GB, Batería hasta 16 horas. Cámara FaceTime HD 1080p, Dos Micrófonos Integrados que aíslan y amplifican tu voz. Dos Bocinas Laterales para un Sonido Inmersivo. Magic Keyboard. Puertos USB C y toma de 3.5mm Compatible con Apple Intelligence. Teclado en Español. Garantia limitada de un año directo con fabricante. Color Plata 1 AÑO DE GARANTIA DIRECTO CON FABRICANTE.",MHFA4E/A,m,12402.212765957447,12402.21,636.01,14882.66,14882.66,19843.54,14262.54,14882.65,laptops,./assets/img/catalog/laptops/COMMAC5590.jpg,https://static.ctonline.mx/imagenes/COMMAC5590/COMMAC5590_400.jpg,./assets/img/placeholders/lap_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
